scraped_at,bank,currency,bid,ask,mid,spread,rate_date,source_bank_label
2026-05-27T12:52:53+00:00,Nordea,TND,3.127,3.2673,3.19715,0.1403,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,TRY,0.1981,0.2062,0.20215,0.0081,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,USD,9.1881,9.3703,9.2792,0.1822,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,ZAR,0.56113,0.57295,0.56704,0.01182,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,AED,2.4913,2.5602,2.52575,0.0689,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,AUD,6.5651,6.6955,6.6303,0.1304,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,BDT,0.073069,0.077917,0.075493,0.004848,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,BHD,24.2687,24.9466,24.60765,0.6779,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,CAD,6.6485,6.7805,6.7145,0.132,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,CHF,11.7053,11.938,11.82165,0.2327,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,CNH,1.3496,1.3867,1.36815,0.0371,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,CNY,1.34054,1.39576,1.36815,0.05522,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,CZK,0.44051,0.44954,0.445025,0.00903,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,DKK,1.43188,1.46032,1.4461,0.02844,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,EGP,0.1722,0.1831,0.17765,0.0109,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,EUR,10.6968,10.9093,10.80305,0.2125,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,GBP,12.3588,12.6041,12.48145,0.2453,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,GIP,12.351376,12.610977,12.481177,0.259601,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,HKD,1.16832,1.20045,1.184385,0.03213,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,HUF,0.030097,0.03071,0.030403,0.000613,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,IDR,0.0005109,0.0005322,0.000522,2.1e-05,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,ILS,3.2278,3.3179,3.27285,0.0901,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,INR,0.09494,0.09884,0.09689,0.0039,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,ISK,0.0738,0.077,0.0754,0.0032,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,JPY,0.057658,0.058802,0.05823,0.001144,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KES,0.0701,0.0733,0.0717,0.0032,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KRW,0.006063,0.006289,0.006176,0.000226,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KWD,29.5443,30.4016,29.97295,0.8573,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KZT,0.018936,0.01973,0.019333,0.000794,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,LKR,0.027641,0.029384,0.028512,0.001743,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,MAD,0.9892,1.031,1.0101,0.0418,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,MXN,0.52883,0.54343,0.53613,0.0146,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,MYR,2.3131,2.3657,2.3394,0.0526,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,NOK,0.98891,1.00874,0.998825,0.01983,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,NZD,5.3953,5.5027,5.449,0.1074,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PEN,2.654029,2.764723,2.709376,0.110694,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PHP,0.1476,0.1538,0.1507,0.0062,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PKR,0.0322,0.0343,0.03325,0.0021,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PLN,2.52545,2.57579,2.55062,0.05034,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,QAR,2.4928,2.5966,2.5447,0.1038,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,RON,2.0416,2.083,2.0623,0.0414,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,RSD,0.090089,0.093967,0.092028,0.003878,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,SAR,2.4376,2.506,2.4718,0.0684,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,SGD,7.1942,7.337,7.2656,0.1428,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,THB,0.28093,0.28867,0.2848,0.00774,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,TND,3.127,3.2673,3.19715,0.1403,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,TRY,0.1981,0.2062,0.20215,0.0081,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,USD,9.1881,9.3703,9.2792,0.1822,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,ZAR,0.56113,0.57295,0.56704,0.01182,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,AED,2.4858,2.5549,2.52035,0.0691,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,AUD,6.5401,6.6713,6.6057,0.1312,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,BDT,0.072905,0.077757,0.075331,0.004852,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,BHD,24.2141,24.8952,24.55465,0.6811,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,CAD,6.6272,6.76,6.6936,0.1328,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,CHF,11.6614,11.8932,11.7773,0.2318,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,CNH,1.3466,1.3839,1.36525,0.0373,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,CNY,1.33774,1.39305,1.365395,0.05531,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,CZK,0.43936,0.44834,0.44385,0.00898,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,DKK,1.42791,1.45629,1.4421,0.02838,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,EGP,0.1718,0.1828,0.1773,0.011,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,EUR,10.6831,10.8951,10.7891,0.212,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,GBP,12.3201,12.567,12.44355,0.2469,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,GIP,12.313331,12.574526,12.443929,0.261195,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,HKD,1.16585,1.19814,1.181995,0.03229,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,HUF,0.030066,0.030684,0.030375,0.000618,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,IDR,0.0005097,0.0005311,0.00052,2.1e-05,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,ILS,3.2137,3.3039,3.2588,0.0902,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,INR,0.09478,0.0987,0.09674,0.00392,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,ISK,0.0737,0.0768,0.07525,0.0031,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,JPY,0.057514,0.058667,0.058091,0.001153,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KES,0.07,0.073,0.0715,0.003,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KRW,0.006066,0.006291,0.006178,0.000225,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KWD,29.4756,30.3306,29.9031,0.855,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KZT,0.018888,0.019682,0.019285,0.000794,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,LKR,0.027499,0.02921,0.028354,0.001711,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,MAD,0.987,1.0302,1.0086,0.0432,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,MXN,0.52768,0.54233,0.535005,0.01465,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,MYR,2.3079,2.3608,2.33435,0.0529,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,NOK,0.98864,1.00859,0.998615,0.01995,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,NZD,5.3915,5.4998,5.44565,0.1083,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PEN,2.648057,2.759025,2.703541,0.110968,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PHP,0.1473,0.1535,0.1504,0.0062,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PKR,0.0322,0.0343,0.03325,0.0021,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PLN,2.51956,2.56979,2.544675,0.05023,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,QAR,2.4872,2.5912,2.5392,0.104,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,RON,2.0364,2.0778,2.0571,0.0414,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,RSD,0.089829,0.093689,0.091759,0.00386,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,SAR,2.4323,2.5008,2.46655,0.0685,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,SGD,7.1765,7.3204,7.24845,0.1439,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,THB,0.28016,0.28794,0.28405,0.00778,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,TND,3.1238,3.2773,3.20055,0.1535,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,TRY,0.1976,0.2057,0.20165,0.0081,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,USD,9.1675,9.351,9.25925,0.1835,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,ZAR,0.56015,0.57206,0.566105,0.01191,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,AED,2.4858,2.5549,2.52035,0.0691,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,AUD,6.5401,6.6713,6.6057,0.1312,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,BDT,0.072905,0.077757,0.075331,0.004852,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,BHD,24.2141,24.8952,24.55465,0.6811,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,CAD,6.6272,6.76,6.6936,0.1328,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,CHF,11.6614,11.8932,11.7773,0.2318,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,CNH,1.3466,1.3839,1.36525,0.0373,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,CNY,1.33774,1.39305,1.365395,0.05531,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,CZK,0.43936,0.44834,0.44385,0.00898,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,DKK,1.42791,1.45629,1.4421,0.02838,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,EGP,0.1718,0.1828,0.1773,0.011,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,EUR,10.6831,10.8951,10.7891,0.212,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,GBP,12.3201,12.567,12.44355,0.2469,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,GIP,12.313331,12.574526,12.443929,0.261195,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,HKD,1.16585,1.19814,1.181995,0.03229,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,HUF,0.030066,0.030684,0.030375,0.000618,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,IDR,0.0005097,0.0005311,0.00052,2.1e-05,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,ILS,3.2137,3.3039,3.2588,0.0902,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,INR,0.09478,0.0987,0.09674,0.00392,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,ISK,0.0737,0.0768,0.07525,0.0031,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,JPY,0.057514,0.058667,0.058091,0.001153,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KES,0.07,0.073,0.0715,0.003,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KRW,0.006066,0.006291,0.006178,0.000225,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KWD,29.4756,30.3306,29.9031,0.855,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KZT,0.018888,0.019682,0.019285,0.000794,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,LKR,0.027499,0.02921,0.028354,0.001711,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,MAD,0.987,1.0302,1.0086,0.0432,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,MXN,0.52768,0.54233,0.535005,0.01465,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,MYR,2.3079,2.3608,2.33435,0.0529,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,NOK,0.98864,1.00859,0.998615,0.01995,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,NZD,5.3915,5.4998,5.44565,0.1083,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PEN,2.648057,2.759025,2.703541,0.110968,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PHP,0.1473,0.1535,0.1504,0.0062,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PKR,0.0322,0.0343,0.03325,0.0021,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PLN,2.51956,2.56979,2.544675,0.05023,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,QAR,2.4872,2.5912,2.5392,0.104,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,RON,2.0364,2.0778,2.0571,0.0414,2026-05-27,
